iter	RMSE
295	30566903.212296	30560751.942297	30509841.392298	30502307.422299	30497946.753300	30472948.693301	30411961.483302	30339120.443303	30333433.063304	30307596.743305	30291268.353306	30274385.643307	30235406.363308	30234511.313309	30172823.123310	30153437.623311	30071002.753312	30069641.933313	30051464.013314	29998063.293315	29972590.031316	29972560.531317	29936481.431318	29877786.319319	29875477.320320	29874247321	321	2985044322	2322	2981636323	2323	2978667324	2324	2964507325	2325	2964164326	2326	2961851327	2327	2961477328	2328	2960772329	329	29585732330	330	29585627331	331	29585586332	332	29585455333	333	29523315334	334	29522129335	335	29518144336	336	29517398337	337	29494022338	338	2947956339	2339	2944530340	2340	2944435341	2341	2942190342	2342	2938301343	2343	2936369344	2344	293520334345	29350470.534346	29332875.734347	29325716.834348	29313985.434349	29313859.335350	29313594.435351	29310972.335352	29310240.935353	29309300.135354	29304062.635355	29293561.435356	29293287.93357	29275802.335358	2927491359	2359	2927122360	360	29265382361	361	29250849362362	29250497.363363	29164716.364364	29159573.365365	29157000.366366	29152173.367367	29141947.368368	29141103.369369	29077892.370370	29073700.371371	29072555.372372	29024673.373373	29000940.374374	28924066.37375	28853268.537376	28847689.037377	28821308.537378	28821045.337379	28752186.380380	28735808.381381	28734345.382382	28675099.383383	28670831.384384	28662402.385385	28656700386	386	28581856387	387	28540806388	388	28540557389	389	28540313390	390	28515285391	391	28491015392	392	2849032393	2393	284300394	28394	284269395	28395	284198396	28396	284397	28877397	284398	28871398	283399	28864399	283400	28863400	283401	28863401	283402	28863402	283403	28862403	283404	28840404	283405	28838405	283406	28838406	28407	288330407	28408	288327408	28409	288274409	28410	288226410	28411	28817411	282412	28804412	282413	28803413	282414	28803414	282415	28801415	282416	28800416	282417	28796417	282418	28793418	282419	28785419	282420	28784420	282421	28730421	282422	28686422	281423	28684423	28424	286637424	28425	286525425	28426	286519426	28427	286480427	28428	286464428	28429	286429429	27430	286351430	27431	286301431	27432	286025432	27433	286024433	27434	285995434	2435	2859943435	2436	285993043437	28590465.543438	28588612.143439	28584032.743440	28538131.440441	28537764.441442	28536244.44443	28536180.744444	28534762.34445	28534703.624446	28534362446	447	2852527447	2448	2852391448	2449	2852142449	2450	2849908450	2451	2849900451	2452	2849708452	2453	2849704453	2454	2846059454	2455	2846052455	2456	284602456	27457	28456457	276458	28456458	275459	28455459	275460	28455460	275461	28455461	275462	28453462	275463	28452463	464	28382054464	465	28370948465	466	2836983466	2467	2828264467	2468	2828262468	2469	2823927469	2470	2823828470	2471	2823243471	2472	2823179472	2473	2823089473	2474	282303474	27475	282301475	27476	281663476	27477	281663477	27478	281647478	27479	281633479	27480	281631480	27481	281624481	27482	281249482	27483	281167483	27484	281043484	27485	281043485	27486	280987486	27487	280979487	27488	28096488	272489	28095489	272490	28090490	271491	28083491	271492	28083492	271493	28082493	271494	28081494	271495	28076495	271496	28075496	271497	2807497	2711498	280498	27115499	280499	27111500	280500	27111501	280501	27048502	280502	27047503	280503	27046504	280504	27046505	280505	27027506	280506	27027507	280507	26986508	280508	26981509	280509	26510	280107510	26511	280105511	2512	2798271512	2513	2798241513	2514	2798102514	2515	2798093515	2516	2797320516	2517	2796266517	2518	2796219518	2519	2796102519	2520	279608520	26521	279582521	26522	279557522	26523	279544523	26524	279542524	26525	279519525	26526	279202526	26527	279129527	26528	278918528	26529	278914529	26530	278608530	26531	278608531	26532	278606532	26533	278536533	26534	278523534	26535	278520535	2536	277416536	26537	277388537	26538	277387538	26539	27736539	26540	277339540	26541	277320541	26542	277301542	26543	277298543	26544	277298544	26545	277280545	26546	277272546	26547	277252547	26548	277248548	26549	277209549	26550	277192550	26551	277160551	2552	277159552	2553	2771433553	2554	2770049554	2555	2769758555	2556	2769527556	2557	2769410557	2558	2769395558	2559	2768889559	2560	2768795560	2561	2768769561	2562	2768621562	2563	2768480563	2564	2768191564	565	27668622565	566	27667727566	567	27666641567	568	27666357568	569	27662695569570	27662614.570571	27660630571	572	27648256572	573	27612425573	574	27611401574	575	27610256575	576	276100575577	27609756.655578	27609302.925579	27609180.625580	27608634.975581	27608458.745582	27607190.555583	27607168.955584	27603903.615585	27600496.875586	27600324.255587	27599061.285588	27598494.735589	27530017.558590	27529769.859591	27529004.459592	27528742.159593	27528685.65594	27527689.935595	27526600.395596	27523456.995597	27522447.525598	27522215.935599	27521978.985600	27521063.656601	27519048601	602	27517072602	603	27506819603	604	27504415604	605	2750420605	606	27494305606	607	27492596607	608	27492131608	609	27491948609	610	27491771610	611	27491296611	612	27479400612613	27479205.613614	27477767.61615	27467522.361616	2746633616	617	27464821617	618	27458383618	619	27457915619	620	27406455620	621	2740600621	2622	2740573622	2623	2740067623	2624	2739993624	2625	2739950625	626	27399277626	627	27399052627	628	27398914628	629	27398491629	630	27396243630631	27396086.631632	27394657.632633	27394561633	634	27394424634	635	27394635	257636	27394636	257637	2739637	257638	27393638	257639	27390639	257640	27354640	256641	2735641	2565642	2735642	2564643	2733643	2561644	2733644	2559645	2732645	2559646	273646	25586647	273647	2558648	2732648	2558649	2730649	2558650	2723650	2558651	2723651	2558652	2723652	2557653	2723653	2557654	272654	25578655	272655	25578656	271656	25560657	271657	25558658	271658	25512659	271659	25512660	271660	2549661	2718661	2549662	2718662	2549663	2718663	2549664	2718664	2548665	2717665	2548666	2717666	254667	27169667	254668	27168668	254669	27168669	254670	27168670	254671	27112671	254672	27112672	254673	2711673	2547674	2711674	2547675	271675	25473676	270676	25473677	270677	25471678	270678	25468679	27679	254396680	27680	254395681	27681	254384682	27682	25438683	270683	25431684	27684	254263685	27685	254261686	27686	253846687	27687	253845688	2688	2538406689	2689	253840690	27690	253839691	2691	2538370692	2692	2537925693	2693	2537923694	2694	2537921695	2695	2537895696	2696	2537015697	2697	2537011698	2698	253700699	26699	253693700	26700	253691701	26701	253691702	2702	2536791703	2703	2535763704	2704	2535083705	2705	2534887706	2706	2528802707	2707	2528316708	2708	2528308709	2709	2520710	2685710	2520711	2685711	252712	26850712	251713	26850713	251714	26849714	251715	26847715	251716	26822716	251717	26822717	250718	26822718	719	26821956719	720	26821888720	721	26821860721	722	2682124722	2723	2682086723	2724	2680665724	2725	2680634725	2726	2680628726	2727	2680572727	2728	2680192728	2729	2679355729	2730	2679335730	2731	2679305731	732	26792997732	733	26792916733	734	26789884734	735	26780452735	736	26780259736	737	26764144737	738	26752664738	739	26738323739	740	26735429740	741	2673500741	2742	2673241742	743	26732363743	744	26702178744	745	2670213745	746	26698620746	747	2669526747	2748	2669503748	749	26694746749	750	26691523750	751	26690463751752	26689312.752753	26688801.753754	26685471.75755	26685429.175756	26619906.67757	26618327.597758	26581757.597759	26578490.417760	26570813.897761	26568411.957762	26554542.157763	26550562.587764	26550527.5
765	26548290.22
766	26548286.42
767	26547939.33
768	26547935.95
769	26547887.84
770	26544650.89
771	26543028.48
772	26514049.24
773	26513100.99
